Timestamp,Type,Priority,index_num,Suggestion,topic
10/27/22 15:48,0,1,0,More ECE course options.,course
10/27/22 15:48,0,2,1,More RA/TA opportunities.,job opportunities
10/27/22 15:48,0,3,2,Lower housing rent.,housing
10/27/22 15:48,0,4,3,Having additional advising for courses by people who are familiar with courses in the department (especially for grad students),course
10/27/22 15:48,0,5,4,lesser number of minimum compulsory credits for international students,program
10/27/22 15:48,1,1,5,More ECE course options.,course
10/27/22 15:48,1,2,6,More RA/TA opportunities.,job opportunities
10/27/22 15:48,1,3,7,Lower housing rent.,housing
10/27/22 15:48,1,4,8,Having additional advising for courses by people who are familiar with,course
10/27/22 15:48,1,5,9,courses in the department (especially for grad students),program
10/27/22 15:49,0,1,10,More RA/TA opportunities,job opportunities
10/27/22 15:49,0,2,11,Lower tuition fees and fee for out of state students,tuition
10/27/22 15:49,0,3,12,Exam archive for students to prep for tests,exam
10/27/22 15:49,0,4,13,Easy switch between program discipline if student lose their interest,program
10/27/22 15:49,1,1,14,Providing more projects that give a hands on experience to students.,exam
10/27/22 15:49,1,2,15,Reducing the number of exams but increasing the number of HW,course
10/27/22 15:49,1,3,16,Explaining the concepts of networking by showing code examples from system.,course
10/27/22 15:49,1,4,17,"Giving the students a few research papers to write a survey on, thus giving students more exposure to present day research in the domain",course
10/27/22 15:50,0,1,18,Having more common spaces to do work on campus (in addition to CULC + Crosland),campus
10/27/22 15:50,0,2,19,Having umbrellas that can be borrowed on campus,campus
10/27/22 15:50,0,3,20,more public transport,transportation
10/27/22 15:50,0,4,21,Mandatory physical and mental health classes,health
10/27/22 15:50,0,5,22,Discounts on COSTCO for foods and gas,benefits
10/27/22 15:50,1,1,23,Healthier food options,food
10/27/22 15:50,1,2,24,Better course options,course
10/27/22 15:50,1,3,25,More support for job search,benefits
10/27/22 15:50,1,4,26,More funding opportunities,benefits
10/27/22 15:50,1,5,27,Better communication from course TAs and instructors.,course
10/27/22 15:50,0,1,28,More opportunities for on-campus jobs (teaching or research Assistant),job opportunities
10/27/22 15:50,0,2,29,Better ECE classes,course
10/27/22 15:50,0,3,30,Safety on campus,safety
10/27/22 15:50,0,4,31,Better public transportation (Access to MARTA),transportation
10/27/22 15:50,0,5,32,Better food on campus,campus
10/27/22 15:50,1,1,33,Safety on campus,safety
10/27/22 15:50,1,2,34,Better quality of housing,housing
10/27/22 15:50,1,3,35,Better public transportation,transportation
10/27/22 15:50,1,4,36,Better quality of food ,campus
10/27/22 15:50,1,5,37,Fun activities/events,benefits
10/27/22 15:51,0,1,38,Revised testing format ,exam
10/27/22 15:51,0,2,39,Reduce parking fee,benefits
10/27/22 15:51,0,3,40,More food options on campus,campus
10/27/22 15:51,0,4,41,Renovated and more campus housing options ,housing
10/27/22 15:51,0,5,42,More seating/outlets ,campus
10/27/22 15:51,1,1,43,Reduce student fees ,tuition
10/27/22 15:51,1,2,44,More food options on campus ,food
10/27/22 15:51,1,3,45,Reduce traffic on campus ,campus
10/27/22 15:51,1,4,46,More seating locations on campus ,campus
10/27/22 15:51,1,5,47,More on campus activities for students,campus
10/27/22 15:51,0,1,48,Better course offerings,course
10/27/22 15:51,0,2,49,Wider variety of food options on campus,food
10/27/22 15:51,0,3,50,Increased seating on campus,campus
10/27/22 15:51,0,4,51,Improve Wifi speed,campus
10/27/22 15:51,0,5,52,Profs/TAs being more responsive on Piazza,course
10/27/22 15:51,1,1,53,Make meal plans more flexible/affordable,food
10/27/22 15:51,1,2,54,Make class syllabi publicly available,course
10/27/22 15:51,1,3,55,"Increase frequency of free, fun events put on for students",benefits
10/27/22 15:51,1,4,56,Create more study spaces on campus,campus
10/27/22 15:51,1,5,57,Make it easier to make appointments at Stamps,health
10/27/22 15:51,0,1,58,Easier and free access to mental health help,health
10/27/22 15:51,0,2,59,Mode of conduct of lectures should be both in-person and remote in every course,course
10/27/22 15:51,0,3,60,Only open book exams to ensure conceptual understanding,course
10/27/22 15:51,0,4,61,Each grad student has1 advisor to know closely what is their academic progress,program
10/27/22 15:51,0,5,62,More stinger bus routes,transportation
10/27/22 15:51,1,1,63,"Revised testing format as a standard (take home, open book, open notes)",exam
10/27/22 15:51,1,2,64,Better/more seating with access to outlet,campus
10/27/22 15:51,1,3,65,Fewer required ECE undergrad class (such as 3005 or 2031),program
10/27/22 15:51,1,4,66,"Improved ECE advising/forms process (graduation, minors, etc)",program
10/27/22 15:51,1,5,67,Increased shuttle/bus times and reliability,transportation
10/27/22 15:51,0,1,68,More variety of offered courses,program
10/27/22 15:51,0,2,69,More RA/TA opportunities.,job opportunities
10/27/22 15:51,0,3,70,Better Transportation,transportation
10/27/22 15:51,0,4,71,Lower student fees,tuition
10/27/22 15:51,0,5,72,Availability of graduate student living,housing
10/27/22 15:51,1,1,73,Having umbrellas that can be borrowed on campus,campus
10/27/22 15:51,1,2,74,Increasing visibility and ease of using dining hallsHealthier food options,food
10/27/22 15:51,1,3,75,Better course options,course
10/27/22 15:51,1,4,76,More support for job search,benefits
10/27/22 15:51,1,5,77,More funding opportunities,benefits
10/27/22 15:52,0,1,78,Increase opportunities for GRA/GTA roles in ECE department,job opportunities
10/27/22 15:52,0,2,79,Increased number of on-campus employment opportunities for student,job opportunities
10/27/22 15:52,0,3,80,More collaboration based assignments,course
10/27/22 15:52,0,4,81,better faculty benefits,benefits
10/27/22 15:52,0,5,82,safe neighbor,safety
10/27/22 15:52,1,1,83,less homework,course
10/27/22 15:52,1,2,84,more stinger bus routes,transportation
10/27/22 15:52,1,3,85,more classes offered,program
10/27/22 15:52,1,4,86,more extra credit offered,course
10/27/22 15:52,1,5,87,less tests,course
10/27/22 15:52,0,1,88,Add more automated seats for each course and smoothen the registration process such that all students can take courses they desire,course
10/27/22 15:52,0,2,89,Availability of graduate student living,housing
10/27/22 15:52,0,3,90,"Exams should not hold a lot of weightage, instead there should be multiple assignments for grading",exam
10/27/22 15:52,0,4,91,only open book exams to ensure conceptual understanding stress busting activities every week on campus,exam
10/27/22 15:52,0,5,92,Cheaper prices of food on campus. Most students at Tech work throughout the day and generally do not have much time to cook for themselves. Student either spend more money of food or eat very irregularly,food
10/27/22 15:52,1,1,93,Easy switch between the programs or disciplines if students lose their interest in their current program,program
10/27/22 15:52,1,2,94,Adding more breaks/holidays during the semester normalizes students workload,program
10/27/22 15:52,1,3,95,Giving opportunity to students to drop courses anytime during the semester without affecting their transcript,program
10/27/22 15:52,1,4,96,"Exams should not have much weight, rather projects/assignment should carry more weightage as they have high learning",exam
10/27/22 15:52,1,5,97,Mode of conduct of lectures should be both in-person and remote in every course,course
10/27/22 15:52,0,1,98,Healthier food options,food
10/27/22 15:52,0,2,99,Better bus transportation service,transportation
10/27/22 15:52,0,3,100,More funding opportunities,benefits
10/27/22 15:52,0,4,101,Better assignments,course
10/27/22 15:52,0,5,102,Safety on campus,safety
10/27/22 15:52,1,1,103,Better stinger service,transportation
10/27/22 15:52,1,2,104,Better registration portal,program
10/27/22 15:52,1,3,105,More library space,campus
10/27/22 15:52,1,4,106,More crime prevention measures,safety
10/27/22 15:52,1,5,107,Better food options in student centre,food
10/27/22 15:53,0,1,108,More classes should allow students to attend remotely as this course does.,course
10/27/22 15:53,0,2,109,Provide more industrial-related courses/projects. ,program
10/27/22 15:53,0,3,110,More ECE course options.,program
10/27/22 15:53,0,4,111,Students should be allowed balance between work and life.,program
10/27/22 15:53,0,5,112,Lower housing rent.,housing
10/27/22 15:53,1,1,113,"Work really hard on assignments, quiz, and exams.",course
10/27/22 15:53,1,2,114,"Choose an area that you are most interested in, but do not be afraid of changing it.",program
10/27/22 15:53,1,3,115,Make friends with people whose major is not close to yours.,program
10/27/22 15:53,1,4,116,Explore interesting things other than your major.,program
10/27/22 15:53,1,5,117,Do more exercises as you can.,health
10/27/22 15:53,0,1,118,supportive environment,campus
10/27/22 15:53,0,2,119,Cheap food,food
10/27/22 15:53,0,3,120,Better transportation,transportation
10/27/22 15:53,0,4,121,Better course option,course
10/27/22 15:53,0,5,122,Better internet,campus
10/27/22 15:53,1,1,123,supportive environment,campus
10/27/22 15:53,1,2,124,better transportation,transportation
10/27/22 15:53,1,3,125,better curriculum,program
10/27/22 15:53,1,4,126,better consultation ,program
10/27/22 15:53,1,5,127,healthy food with reasonable price,food
10/27/22 15:54,0,1,128,only open book exams to ensure conceptual understanding,exam
10/27/22 15:54,0,2,129,Discounts on COSTCO for foods and gas,benefits
10/27/22 15:54,0,3,130,Recreational activities and sports should be free of charge.,benefits
10/27/22 15:54,0,4,131,Safety on campus,safety
10/27/22 15:54,0,5,132,Better system for choosing classes,program
10/27/22 15:54,1,1,133,Better food,food
10/27/22 15:54,1,2,134,Free parking lots,benefits
